5,0000000	25,0000000	0,0008913	1098,3796774	1139,8471677
5,0000000	30,0000000	0,0011233	1112,3235889	1160,1190364
4,6000000	40,0000000	0,0016420	1149,3112534	1213,0107709
4,4000000	50,0000000	0,0021148	1188,1345325	1272,4319859
4,0000000	55,0000000	0,0021967	1203,1999650	1297,2437619
4,0000000	60,0000000	0,0023369	1219,3055582	1319,3819117
4,0000000	65,0000000	0,0025220	1244,0847900	1364,9349430
4,0000000	70,0000000	0,0028234	1273,7581595	1417,1976994
4,0000000	75,0000000	0,0030098	1290,0671536	1446,6063348
4,0000000	80,0000000	0,0031881	1302,7305783	1469,3033677
4,0000000	85,0000000	0,0034284	1319,6860742	1500,2728701
4,0000000	90,0000000	0,0036386	1338,6855923	1534,3647322
4,0000000	95,0000000	0,0038231	1356,0447607	1564,8748615
4,0000000	100,0000000	0,0040597	1375,9060726	1601,4281870
4,0000000	107,0000000	0,0043266	1398,5204934	1643,0784251
4,0000000	110,0000000	0,0044926	1415,8646414	1675,0461563
4,0000000	115,0000000	0,0047057	1433,5204621	1709,3495553
4,0000000	120,0000000	0,0049189	1452,6758166	1745,1305834
